word,amount,list,trialtype,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,pitch higher result block,pitch higher result amount,pitch lower result block,pitch lower result amount,date,listMethod,expName,participant,frameRate,
word3.30,0.0,list3,unmodified,0,0,0,0,0,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.3,0.5,list1,pitch higher,0,0,1,1,1,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.30,-0.5,list2,pitch lower,0,0,2,2,2,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.16,0.0,list3,unmodified,0,0,3,3,3,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.26,0.5,list1,pitch higher,0,0,4,4,4,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.1,-0.5,list2,pitch lower,0,0,5,5,5,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.13,0.0,list3,unmodified,0,0,6,6,6,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.7,0.5,list1,pitch higher,0,0,7,7,7,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.23,-0.5,list2,pitch lower,0,0,8,8,8,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.4,0.0,list3,unmodified,1,0,9,9,9,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.22,1.0,list1,pitch higher,1,0,10,10,10,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.8,-1.0,list2,pitch lower,1,0,11,11,11,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.19,0.0,list3,unmodified,1,0,12,12,12,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.17,1.0,list1,pitch higher,1,0,13,13,13,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.26,-1.0,list2,pitch lower,1,0,14,14,14,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.25,0.0,list3,unmodified,1,0,15,15,15,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.18,1.0,list1,pitch higher,1,0,16,16,16,self,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.17,-1.0,list2,pitch lower,1,0,17,17,17,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.11,0.0,list3,unmodified,2,0,18,18,18,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.9,1.5,list1,pitch higher,2,0,19,19,19,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.7,-1.5,list2,pitch lower,2,0,20,20,20,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.29,0.0,list3,unmodified,2,0,21,21,21,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.15,1.5,list1,pitch higher,2,0,22,22,22,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.15,-1.5,list2,pitch lower,2,0,23,23,23,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.14,0.0,list3,unmodified,2,0,24,24,24,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word1.14,1.5,list1,pitch higher,2,0,25,25,25,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word2.10,-1.5,list2,pitch lower,2,0,26,26,26,other,,,,,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
word3.17,0.0,list3,unmodified,3,0,27,27,27,other,2,-1.5,2,1.5,2015_Jun_24_1501,random,source_monitoring,ok,59.9570867599,
