word,amount,list,trialtype,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,pitch lower result amount,participant,pitch lower result block,listOrder,frameRate,pitch higher result amount,expName,date,listMethod,pitch higher result block,
word3.23,0.5,list3,pitch higher,1,0,0,0,0,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.1,0.0,list2,unmodified,1,0,1,1,1,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.8,-0.5,list1,pitch lower,1,0,2,2,2,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.12,0.0,list2,unmodified,1,0,3,3,3,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.14,-0.5,list1,pitch lower,1,0,4,4,4,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.1,0.5,list3,pitch higher,1,0,5,5,5,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.29,-0.5,list1,pitch lower,1,0,6,6,6,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.22,0.0,list2,unmodified,1,0,7,7,7,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.10,0.5,list3,pitch higher,1,0,8,8,8,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.11,1.0,list3,pitch higher,2,0,9,9,9,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.5,-1.0,list1,pitch lower,2,0,10,10,10,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.14,0.0,list2,unmodified,2,0,11,11,11,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.26,-1.0,list1,pitch lower,2,0,12,12,12,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.26,0.0,list2,unmodified,2,0,13,13,13,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.13,1.0,list3,pitch higher,2,0,14,14,14,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.22,1.0,list3,pitch higher,2,0,15,15,15,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.24,0.0,list2,unmodified,2,0,16,16,16,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.17,-1.0,list1,pitch lower,2,0,17,17,17,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.15,1.5,list3,pitch higher,3,0,18,18,18,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.18,0.0,list2,unmodified,3,0,19,19,19,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.24,-1.5,list1,pitch lower,3,0,20,20,20,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.4,0.0,list2,unmodified,3,0,21,21,21,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.10,-1.5,list1,pitch lower,3,0,22,22,22,other,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.3,1.5,list3,pitch higher,3,0,23,23,23,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.27,0.0,list2,unmodified,3,0,24,24,24,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.6,1.5,list3,pitch higher,3,0,25,25,25,self,,pls2,,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.11,-1.5,list1,pitch lower,3,0,26,26,26,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.19,2.0,list3,pitch higher,4,0,27,27,27,self,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.22,-2.0,list1,pitch lower,4,0,28,28,28,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.28,0.0,list2,unmodified,4,0,29,29,29,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.4,-2.0,list1,pitch lower,4,0,30,30,30,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.3,0.0,list2,unmodified,4,0,31,31,31,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.28,2.0,list3,pitch higher,4,0,32,32,32,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word3.20,2.0,list3,pitch higher,4,0,33,33,33,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word1.28,-2.0,list1,pitch lower,4,0,34,34,34,other,-1.5,pls2,3,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.11,0.0,list2,unmodified,4,0,35,35,35,other,-2.0,pls2,4,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
word2.23,0.0,list2,unmodified,5,0,36,36,36,other,-2.0,pls2,4,"[u'2', u'3', u'1']",60.1601285159,,source_monitoring,2015_Jun_24_1702,set your own,,
