word,amount,list,trialtype,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,pitch lower result amount,participant,pitch lower result block,frameRate,pitch higher result amount,expName,date,listMethod,pitch higher result block,
word3.16,0.5,list3,pitch higher,1,0,0,0,0,other,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word1.20,-0.5,list1,pitch lower,1,0,1,1,1,self,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word2.3,0.0,list2,unmodified,1,0,2,2,2,self,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word3.28,0.5,list3,pitch higher,1,0,3,3,3,other,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word1.9,-0.5,list1,pitch lower,1,0,4,4,4,self,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word2.6,0.0,list2,unmodified,1,0,5,5,5,self,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word3.7,0.5,list3,pitch higher,1,0,6,6,6,other,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word1.24,-0.5,list1,pitch lower,1,0,7,7,7,self,,pls,,61.1875713913,,source_monitoring,2015_Jun_24_1657,random,,
word2.11,0.0,list2,unmodified,1,0,8,8,8,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word2.22,0.0,list2,unmodified,2,0,9,9,9,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word1.21,-1.0,list1,pitch lower,2,0,10,10,10,other,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word3.30,1.0,list3,pitch higher,2,0,11,11,11,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word1.3,-1.0,list1,pitch lower,2,0,12,12,12,other,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word3.22,1.0,list3,pitch higher,2,0,13,13,13,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word2.24,0.0,list2,unmodified,2,0,14,14,14,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word1.18,-1.0,list1,pitch lower,2,0,15,15,15,other,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word2.26,0.0,list2,unmodified,2,0,16,16,16,self,,pls,,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
word3.13,1.0,list3,pitch higher,2,0,17,17,17,self,-1.0,pls,2,61.1875713913,0.5,source_monitoring,2015_Jun_24_1657,random,1,
