Rank,Word,Word,Source Monitoring,Source Memory,Part of speech,Frequency,Dispersion,imagery,imagSD,concrete,conSD,categor,catSD,meaning,meanSD,familiar,famSD,NOAttr,NOAsd,pleasant,pleaSD
323,back,back,,1,n1,125006,0.94,4.87,2.01,4.96,2.11,5.28,1.75,4.18,1.81,6.33,1.19,3.83,1.91,4.14,1.34
915,ball,ball,,2,n1,43512,0.94,6.25,1.21,6.08,1.65,5.48,1.49,5.15,1.82,6.42,1.19,4.33,2.02,5.01,1.52M
1284,band,band,,3,n1,29769,0.96,5.44,1.84,6,1.43,5.3,1.74,4.77,1.64,5.93,1.7,4.38,1.74,4.94,1.24
994,bar,bar, ,4,n1,39853,0.95,5.8,1.6,5.43,2.01,5.38,1.9,5,1.88,6.75,0.6,4.16,1.71,4.56,1.63M
939,base,base,1,,n1,41154,0.96,4.34,2.22,4.34,2.03,4.3,1.89,3.98,1.71,5.62,1.63,3.52,1.76,3.79,1.16
3727,bat,bat,2,,n1,7694,0.94,5.8,2,5.6,2.01,6.3,1.41,4.12,2.02,5.88,1.61,3.34,1.94,3.06,1.55M
1951,beach,beach,3,,n1,18451,0.95,6.61,0.77,6.08,1.49,5.58,1.65,5.18,1.61,6.27,1.4,4.78,1.72,5.81,1.41F
3777,beam,beam,4,,n1,7625,0.93,5.02,2,4.98,2.17,4.28,1.86,3.86,1.62,5.67,1.65,3.51,1.67,4.41,1.38
684,bed,bed,5, ,n1,60304,0.9,6.23,1.38,6.68,0.89,5.72,1.62,5.45,1.58,6.54,0.99,4.41,1.86,5.61,1.41
4292,bee,bee,6, ,n1,6342,0.92,6.17,1.44,5.93,1.94,6.17,1.63,4.41,1.94,6.28,1.34,3.66,1.8,3.3,1.52
2669,bell,bell,7,,n1,12421,0.94,6.04,1.53,6.16,1.48,5.43,1.75,4.5,1.91,6.25,1.23,3.78,1.74,4.23,1.4
809,bill,bill,8,,n1,49011,0.94,5.61,1.78,5.36,2.01,5,1.85,4.28,1.9,6.39,1.14,4.16,1.65,3.12,1.65
1126,bird,bird,9,,n1,34835,0.94,6.14,1.33,5.94,1.65,6.19,1.47,5.19,1.86,6.33,1.3,5.02,1.86,5.32,1.45
4185,cage,cage, ,1,n1,6621,0.92,6.07,1.56,5.88,1.77,5.28,1.82,4.46,1.82,5.77,1.83,3.69,1.84,2.43,1.58
645,call,call,,2,n1,59543,0.96,4.44,2.03,3.8,1.93,3.88,1.74,4.3,1.59,6.43,1.19,3.67,1.87,4.26,1.24
1192,camp,camp,,3,n1,32659,0.95,5.51,1.7,5.78,1.63,4.48,1.92,4.84,1.76,6.26,1.29,4.03,1.84,4.82,1.7
2973,can,can, ,4,n1,10718,0.94,3.47,2.3,3.61,2.37,3.47,2.05,3.27,1.74,6.75,0.73,2.95,1.81,4.34,1.49F
290,car,car,1, ,n1,133571,0.94,6.22,1.53,6.35,1.41,5.93,1.69,5.53,1.64,6.8,0.68,5.74,1.71,5.09,1.6
186,case,case,2,,n1,200773,0.95,4.95,2.11,5.12,1.96,3.93,1.91,4.08,1.67,6.18,1.22,4.02,1.5,3.8,1.15
1788,cat,cat,3,,n1,21135,0.92,5.91,1.55,6.3,1.59,6.2,1.58,4.87,1.83,6.36,1.23,4.3,2.05,4.48,1.72
1010,cause,cause,4,,n1,38843,0.96,2.66,1.78,2.9,1.83,2.68,1.62,3.67,1.68,6.07,1.3,3.3,1.84,3.94,1.29
3596,cave,cave,5,,n1,8261,0.92,5.95,1.43,5.88,1.7,4.77,2.04,4.78,1.6,6,1.51,3.58,1.76,3.9,1.53
898,cell,cell,6,,n1,44831,0.94,5.62,1.59,5.09,2.06,5.3,1.78,4.69,1.97,5.95,1.49,4.07,1.98,3.41,1.72
1819,chain,chain,7,,n1,19688,0.96,5.37,1.95,5.94,1.56,4.57,1.94,4.61,1.71,6.07,1.26,3.72,1.69,3.17,1.61M
614,chance,chance,8, ,n1,62682,0.97,3.98,1.88,2.71,1.82,3.28,1.66,3.98,1.82,6.05,1.37,3.84,1.86,4.65,1.33F
4822,charm,charm,9, ,n1,5157,0.95,4.33,2.04,4.2,2.29,3.57,1.68,4.75,1.67,6.05,1.36,3.89,1.78,4.81,1.59
331,face,face,,1,n1,127291,0.89,5.65,1.49,5.76,1.6,5.36,1.67,4.88,1.86,6.41,1.15,5.46,1.67,4.72,1.25
236,fact,fact,,2,n1,164401,0.95,3.18,1.96,3.08,2.1,3.92,1.86,4.63,1.81,6.5,1.02,3.86,1.97,4.2,1.42
1013,fall,fall,,3,n1,38822,0.96,5.41,1.78,4.05,1.7,4.27,1.98,4.67,1.85,6.46,1.13,3.64,1.69,3.31,1.63
1212,fan,fan,,4,n1,32919,0.93,5.76,1.71,5.53,1.94,5.08,1.7,4.25,1.83,5.94,1.46,3.98,1.75,4.42,1.47
4830,fare,fare,1,,n1,5362,0.91,3.78,2.18,4.09,2.01,4.05,1.81,3.61,1.63,5.56,1.66,3.43,1.48,3.6,1.27M
2941,fate,fate,2,,n1,10521,0.97,3.87,1.96,2.75,1.76,3.47,1.72,4.72,1.75,5.85,1.52,4.59,1.93,3.47,1.51
2873,fault,fault,3,,n1,11116,0.95,3.11,2.01,3.03,1.79,2.83,1.88,3.72,1.6,6,1.39,2.8,1.55,2.56,1.33
988,fear,fear,4,,n1,38857,0.98,3.88,2.01,3.22,2.14,3.87,1.84,5.38,1.64,6.43,1.05,4.1,2.01,2.84,1.47M
2676,fence,fence,5,,n1,12390,0.94,6.05,1.28,5.93,1.71,5.18,1.85,4.31,1.72,6.03,1.3,3.74,1.56,3.81,1.25
