"list1","list2","list3"
"base","bat","beach"
"car","case","cat"
"fare","fate","fault"
"gift","girl","glass"
"head","health","heart"
"laugh","law","lead"
"match","mate","meal"
"rent","rib","right"
"seat","sense","shark"
"tear","term","test"
"beam","bed","bee"
"cause","cave","cell"
"fear","fence","film"
"globe","goat","golf"
"heel","help","herb"
"leaf","leg","light"
"milk","mind","moon"
"rim","rise","role"
"sheep","shell","shop"
"theme","thing","time"
"bell","bill","bird"
"chain","chance","charm"
"fish","flag","fog"
"good","grace","grape"
"hold","home","horse"
"look","lunch","lung"
"move","mud","myth"
"root","round","rule"
"side","silk","sleep"
"tip","trace","truth"
